KL Loss,QF Loss,VF Loss,Policy Loss,Preference Loss,AverageTrainReturn_all_train_tasks,ulam_AverageReturn_all_test_tasks,greedy_AverageReturn_all_test_tasks,random_AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.48165414,2569.9963,1331.842,-4477.2188,0.066806264,1797.2086014758038,1939.0507262957371,1174.5141359617971,752.1730364318971,840000,4200000,0,39.5622156999998,66.71361819999947,452.8267297999846,559.1025636999839,23324.394244800093,41
0.51967,1142.033,460.1839,-4668.628,0.14940198,1952.8181268180992,1956.0222199250688,1585.5483118715683,1160.136190727812,860000,4300000,0,39.55211299999792,72.9302994000027,449.42956609999965,561.9119785000003,23887.555324100085,42
0.46342874,883.3337,163.83444,-4386.782,1.0126419,1978.3615952774603,2025.6250902641266,1622.4791670717777,1624.9328319992578,880000,4400000,0,38.62702819999686,74.178486599998,455.1981775999993,568.0036923999942,24452.47976390008,43
0.50067693,731.8876,208.1004,-4531.373,0.0024555132,2018.2830903638264,2026.8882530791243,1213.6208047782966,1204.023356808144,900000,4500000,0,38.19422710000072,71.09934280000016,453.82875550001336,563.1223254000142,25015.975469000092,44
0.50556093,963.7094,489.2859,-4512.9634,0.00058151066,2060.1728701564575,2013.566658941941,1598.8625183156196,765.7006564866045,920000,4600000,0,34.99318239999775,71.47266939999827,447.6349781000099,554.1008299000059,25570.9491390001,45
0.5393056,2258.3247,823.8254,-4664.822,0.5215452,1949.2889809377457,1638.1887288786534,1201.8448890237087,1610.2787124973365,940000,4700000,0,39.93194070000027,72.34545619999699,462.5252435999755,574.8026404999728,26145.02770560007,46
0.4918862,987.86926,556.08826,-4393.8965,0.15779799,2129.1035818263344,2066.3678704616086,1212.2711000726229,1224.3175544525734,960000,4800000,0,38.90492190000077,71.62214369999856,456.4248003999928,566.9518659999922,26711.136858200065,47
0.5250238,1251.3403,285.88043,-4544.6606,0.009736547,2082.916555645052,2017.023070198504,764.5290287261773,1570.7722755275022,980000,4900000,0,39.7597276000015,70.77998389999993,453.14902249997976,563.6887339999812,27276.210857200047,48
0.50712305,1279.8253,410.33527,-4445.3276,1.4802028,2041.7197926790604,2037.3507896034405,786.0681061381089,392.42890747605,1000000,5000000,0,39.83026240000254,72.16472900000008,445.37417500000083,557.3691664000035,27832.68981820005,49
0.53484744,837.5226,413.16022,-4570.435,3.5678718,2166.2553042741606,2052.907643557459,1212.3190318156096,1642.5862587373933,1020000,5100000,0,39.502980500001286,71.27465590000065,469.5906312000043,580.3682676000062,28414.53112570006,50
0.5853798,1475.5698,338.05084,-4865.7437,1.4901166e-06,1999.4948169391164,2074.935554791457,1196.9161021622604,1630.5191152030059,1040000,5200000,0,40.28814190000048,72.74764429999777,458.91726640001434,571.9530526000126,28988.718375400073,51
0.56593645,2133.541,1157.2687,-4782.372,0.031862523,2108.1779124513196,2107.7015626711764,1235.595117984572,1238.5911123719497,1060000,5300000,0,40.22089170000254,74.9820013000026,450.44905239999207,565.6519453999972,29553.396178800067,52
0.5277534,806.28937,264.15836,-4476.2485,0.0059218304,2206.33034721383,2118.6019494203656,396.55209781621585,413.274425465857,1080000,5400000,0,38.75522130000172,74.0077990000027,469.4012980000043,582.1643183000087,30136.02053290008,53
0.5341793,1329.3495,535.462,-4500.723,0.014457739,1984.5631783160593,2068.224771898225,376.2595419669957,835.6453849080822,1100000,5500000,0,39.82042999999976,74.46815700000298,452.3393476000165,566.6279346000192,30700.857501800096,54
0.5203607,856.4585,277.47382,-4387.768,1.6126604,2050.024643237363,2097.6369906201257,786.2748087558189,1241.3464697309992,1120000,5600000,0,40.78997789999994,72.67742519999956,454.6820391000001,568.1494421999996,31268.0329566001,55
0.5267398,662.7998,313.64047,-4409.315,0.0077762087,2083.6166499957135,2064.5191845627014,1672.5366234898343,1213.207398439685,1140000,5700000,0,37.578357099999266,71.70339339999919,459.09633029998076,568.3780807999792,31838.83486570008,56
0.5885535,1307.805,802.61536,-4896.973,0.8334122,2137.0952891880343,1663.3710076179414,1679.1000876084847,831.0236740925237,1160000,5800000,0,40.967392099999415,74.12747529999979,462.0425745000066,577.1374419000058,32416.981980800087,57
0.5380598,1138.1426,1695.3574,-4448.683,0.2352619,2184.1082050218215,2141.257545814662,1284.527909614816,1691.576507935276,1180000,5900000,0,38.45652230000269,75.1369694999994,456.06901429999925,569.6625061000013,32982.35373950009,58
0.579738,1108.5442,584.5858,-4763.0103,3.6955153e-05,2134.1462194271253,2112.75525250087,402.60382061633015,804.6822913108705,1200000,6000000,0,40.55021739999938,70.84658990000025,451.56942820000404,562.9662355000037,33547.59850040008,59
0.583697,852.3065,352.4084,-4804.9033,0.0067725037,2065.025980486996,2165.855627778381,2153.3384232101075,1716.1555836082157,1220000,6100000,0,37.986699599998246,73.12501509999856,455.80311900001107,566.9148337000079,34109.08244560009,60
0.5561377,776.0857,146.67169,-4462.258,0.16748646,2146.591999071931,2148.7108225242614,1667.12137733778,816.2737494231916,1240000,6200000,0,38.950730799995654,67.6943517999971,442.97759400001814,549.6226766000109,34662.8448572001,61
0.5781009,1238.5396,879.2477,-4646.719,1.509088,2261.904107454814,2176.673993333823,1272.417170337415,1304.1201006815631,1260000,6300000,0,39.135129999995115,71.83413270000165,449.51025040001696,560.4795131000137,35216.28967230012,62
0.59593546,1172.967,576.2522,-4802.665,0.02688821,2121.5681056381136,2093.555642264285,1314.5761396812436,1257.350504484448,1280000,6400000,0,40.82409320000443,64.79956840000523,450.44093999998586,556.0646015999955,35777.661140200114,63
0.5851659,862.16724,309.35672,-4695.927,0.88124186,2082.9958049828824,2106.749792526924,1689.1798874493775,1657.5068519995143,1300000,6500000,0,39.0792636000042,70.10677209999994,450.99840619998577,560.1844418999899,36337.83687390011,64
0.60419226,1145.7744,436.64603,-4808.018,0.026929714,2099.2622774371507,2086.2044055483366,812.5603870967184,1678.6979874478866,1320000,6600000,0,39.664109299999836,70.09807010000077,442.46261430001323,552.2247937000138,36890.98037590012,65
0.5780163,3557.9536,297.2588,-4498.2583,0.12774862,1936.2711401511024,2139.50146453315,1241.4354859527534,1664.4633901066695,1340000,6700000,0,41.002941500002635,71.01698120000219,444.0705025000061,556.0904252000109,37445.78361160013,66
0.5977916,926.57996,314.64285,-4686.028,0.12261371,2131.4816609099603,2117.6792686235253,367.13260298779903,2112.200383476647,1360000,6800000,0,38.82552360000409,69.72980670000106,446.2040782000113,554.7594085000164,38001.32567590014,67
0.6437584,1688.5052,502.33047,-5189.7046,0.003944137,2136.0402355741753,1693.3638782838202,379.5803825028952,1249.4585620984337,1380000,6900000,0,39.06351269999868,70.51266720000422,449.3307950999879,558.9069749999908,38558.64722230012,68
0.6333236,1138.9117,438.7307,-5031.605,0.014077346,2101.1145504245205,2077.4804427685854,1669.1211679764215,835.191284392684,1400000,7000000,0,35.38146880000568,68.92726969999785,446.2746789000157,550.5834174000192,39109.87815820013,69
0.623336,1141.8008,375.56885,-4847.6284,0.68777025,2019.2846935018458,2049.459503584752,382.9222902684286,804.0974158322852,1420000,7100000,0,38.8940786000021,69.57508669999515,449.95071810001537,558.4198834000126,39663.84905110014,70
0.63486266,2381.8223,1023.9285,-5025.934,0.0,2261.6091625997324,1670.547186605685,2133.831379360239,406.7309180865806,1440000,7200000,0,38.81918399999995,65.12598089999665,449.6016873000117,553.5468522000083,40224.438767000145,71
0.6277598,1097.2058,370.411,-4873.4688,0.83915144,2071.2622582201493,2136.080841131769,1687.3983117902858,1236.0462691963564,1460000,7300000,0,39.32242459999543,72.16908360000525,451.0901749000186,562.5816831000193,40785.87592210015,72
0.6197051,1641.1055,1617.2164,-4678.1377,0.20715758,2159.5049239044893,2129.2913402277436,806.3144241058756,2092.5839804793395,1480000,7400000,0,39.928167199999734,71.0247675999999,457.3709004000266,568.3238352000262,41354.72967850018,73
0.6447467,1450.4536,271.87335,-5046.01,0.51563704,2287.671579131387,1725.4631740392524,1273.9643557556706,1264.2110701428155,1500000,7500000,0,39.758857300003,71.55484129999968,456.43967659996997,567.7533751999727,41924.53265340014,74
0.6470469,1303.8604,330.93222,-5023.0244,6.258492e-06,2079.4948970224004,2136.568556124467,823.4997378867909,814.7036931965647,1520000,7600000,0,40.98941149999882,73.60450239999773,438.820582499975,553.4144963999715,42475.82014920012,75
0.6299225,948.2898,209.12027,-4686.5786,0.04424938,2004.1831149513869,1670.9314596706784,840.2698179940392,1267.9950336694194,1540000,7700000,0,39.85705030000099,71.47766960000445,441.0674217000342,552.4021416000396,43022.28649170014,76
0.65456057,1752.6396,446.74008,-5003.3594,0.0021425756,2239.9821139531573,2131.0855783036614,836.6137014158916,791.3817977088061,1560000,7800000,0,39.324052399999346,65.54196319999755,453.42723840002145,558.2932540000184,43586.60374160018,77
0.6652289,1300.5316,484.99554,-5138.004,0.0023948676,2164.402120099014,1780.8031450416581,862.6782218755375,1734.5855917362958,1580000,7900000,0,40.12670249999792,71.5656822000019,448.97609399996145,560.6684786999613,44147.52393020014,78
0.63469106,956.43726,254.67972,-4698.288,0.27633566,2104.3872223499357,1732.7538286521205,1740.1321606940137,2184.1717144558866,1600000,8000000,0,38.50671539999894,71.81751010000153,449.9593929000039,560.2836184000043,44705.81418040015,79
0.64681524,1323.5112,553.0348,-4854.8813,1.0819249,2172.3630650156156,2180.0608123128827,1309.2846099557937,2160.5564076306064,1620000,8100000,0,40.20052140000189,69.82426409999607,449.5029553000277,559.5277408000256,45265.276649700165,80
0.65610135,1929.1035,556.59204,-5007.287,0.9787363,2277.8163475803854,2186.0246305306086,-54.69368078264836,1288.398171168313,1640000,8200000,0,39.43109790000017,69.75912000000244,450.2716217000052,559.4618396000078,45825.17160490018,81
0.6516883,2925.6577,542.7479,-4832.879,0.0022011253,2310.6240978098,2193.282341716933,1318.350424311162,830.1055748929673,1660000,8300000,0,40.95578960000421,70.1932627999995,451.8670009000052,563.0160533000089,46390.15717540017,82
0.66327184,1689.9275,547.45966,-4991.321,0.0028281708,2302.0557809925303,1753.9441594403247,410.7018413593763,1756.6533653214083,1680000,8400000,0,40.33913240000402,72.16228340000089,454.13120459998026,566.6326203999852,46955.56360410015,83
0.66429687,1814.0385,246.28757,-5047.485,1.3736368,2200.9908371066326,1721.2737935484374,1747.9449174227893,1746.7754891631662,1700000,8500000,0,39.41381420000107,70.93609590000415,449.8097039000131,560.1596140000183,47514.591312800156,84
